transcript_id,transcript_position,read_index,probability_modified
Curlcake_1,687,509.0,0.0000003306033705
Curlcake_1,687,469.0,0.0132541162893176
Curlcake_1,687,2053.0,0.1096961349248886
Curlcake_1,687,2050.0,0.0056935790926218
Curlcake_1,687,529.0,0.0104434248059988
Curlcake_1,687,144.0,0.0000937475924729
Curlcake_1,687,226.0,0.0001608933816897
Curlcake_1,687,449.0,0.0008623435860500
Curlcake_1,687,2013.0,0.0000519919158251
Curlcake_1,687,559.0,0.0009672849555500
Curlcake_1,687,491.0,0.0006126133375801
Curlcake_1,687,665.0,0.0038258482236415
Curlcake_1,687,482.0,0.0000477525863971
Curlcake_1,687,38.0,0.0035768528468907
Curlcake_1,687,1903.0,0.0033077960833907
Curlcake_1,687,450.0,0.0307398531585932
Curlcake_1,687,596.0,0.0156717151403427
Curlcake_1,687,95.0,0.0438778139650822
Curlcake_1,687,32.0,0.0100665148347616
Curlcake_1,687,22.0,0.0032863910309970
Curlcake_1,687,133.0,0.0500640347599983
Curlcake_1,687,2062.0,0.0000792527571321
Curlcake_1,687,612.0,0.0116543294861913
Curlcake_1,687,79.0,0.0051667774096131
Curlcake_1,687,451.0,0.0022390000522137
Curlcake_1,687,218.0,0.0007617223891430
Curlcake_1,792,529.0,0.0000102150606835
Curlcake_1,792,927.0,0.0005587690975517
Curlcake_1,792,38.0,0.0000058784121393
Curlcake_1,792,612.0,0.0000098102682387
Curlcake_1,792,870.0,0.0021999664604664
Curlcake_1,792,1129.0,0.0001232633367181
Curlcake_1,792,534.0,0.0000176170669874
Curlcake_1,792,218.0,0.0004913882585242
Curlcake_1,792,226.0,0.0000702872348484
Curlcake_1,792,482.0,0.0000572212484258
Curlcake_1,792,463.0,0.0000643066014163
Curlcake_1,792,1146.0,0.0000001444409605
Curlcake_1,792,1035.0,0.0001085953554139
Curlcake_1,792,450.0,0.0000703406112734
Curlcake_1,792,1018.0,0.0008955162484199
Curlcake_1,792,849.0,0.0000018952969185
Curlcake_1,792,95.0,0.0000696430724929
Curlcake_1,792,588.0,0.0001835054426920
Curlcake_1,792,1141.0,0.0000108139802251
Curlcake_1,792,886.0,0.0000012880253735
Curlcake_1,792,1130.0,0.0002511357888579
Curlcake_1,792,945.0,0.0003186881949659
Curlcake_1,792,948.0,0.0000000024282203
Curlcake_1,792,22.0,0.0000526787953277
Curlcake_1,792,2062.0,0.0004725354374386
Curlcake_1,792,994.0,0.0000067047649281
Curlcake_1,792,559.0,0.0001119760490838
Curlcake_1,792,2053.0,0.0000113331643661
Curlcake_1,792,491.0,0.0004588936571963
Curlcake_1,792,451.0,0.0000440202384198
Curlcake_1,792,865.0,0.0000000820625061
Curlcake_1,792,998.0,0.0000082647202362
Curlcake_1,792,1903.0,0.0319210849702358
Curlcake_1,792,79.0,0.0000192043153220
Curlcake_1,792,2050.0,0.0001204532964039
Curlcake_1,792,32.0,0.0000100001034298
Curlcake_1,792,144.0,0.0000544030226592
Curlcake_1,792,509.0,0.0039966432377696
Curlcake_1,792,449.0,0.0000000457721718
Curlcake_1,854,886.0,0.0000056049111663
Curlcake_1,854,1233.0,0.0001092305465136
Curlcake_1,854,1183.0,0.0130919376388192
Curlcake_1,854,1389.0,0.0074929217807949
Curlcake_1,854,482.0,0.0003117737942375
Curlcake_1,854,218.0,0.0067497510462999
Curlcake_1,854,451.0,0.0009483805042692
Curlcake_1,854,79.0,0.0001222586142831
Curlcake_1,854,2053.0,0.0086149042472243
Curlcake_1,854,226.0,0.0155829153954983
Curlcake_1,854,144.0,0.0010037816828117
Curlcake_1,854,450.0,0.0024562857579440
Curlcake_1,854,1018.0,0.0008592800004408
Curlcake_1,854,1284.0,0.0007157622021623
Curlcake_1,854,1084.0,0.0002627273206599
Curlcake_1,854,1130.0,0.0000313722193823
Curlcake_1,854,133.0,0.0001081194423023
Curlcake_1,854,612.0,0.0004558281216305
Curlcake_1,854,1428.0,0.0007427739328705
Curlcake_1,854,38.0,0.0040978328324854
Curlcake_1,854,1361.0,0.0002480580878910
Curlcake_1,854,945.0,0.0000047924290811
Curlcake_1,854,2050.0,0.0004790542297997
Curlcake_1,854,870.0,0.0009668873972259
Curlcake_1,854,449.0,0.0050397492013872
Curlcake_1,854,463.0,0.0004357345751487
Curlcake_1,854,1129.0,0.0275359675288200
Curlcake_1,854,1146.0,0.0000547450472368
Curlcake_1,854,2013.0,0.0000162473716045
Curlcake_1,854,1035.0,0.0088441157713532
Curlcake_1,854,948.0,0.0000515535975865
Curlcake_1,854,998.0,0.0027032347861677
Curlcake_1,854,665.0,0.0008844858384691
Curlcake_1,854,491.0,0.0000167111720657
Curlcake_1,854,1903.0,0.0032427101396024
